,Count,Word
56,36,super
58,35,dzie
61,34,chyba
65,29,video
81,24,wiem
85,23,natu
87,20,miami
88,20,masz
89,19,zaraz
91,19,potem
93,19,jutro
95,18,zrobi
100,17,marysia
101,17,dobra
104,16,sierpnia
105,16,robi
108,16,nata
110,16,jeste
111,16,hehe
114,15,dobre
115,14,wygl
120,14,pozdrowionka
122,14,lepiej
124,14,dzwoni
126,13,troch
128,13,razie
129,13,pewnie
131,13,jedziemy
134,13,dziesz
139,12,pracy
142,12,motocykl
143,12,moto
146,12,fajnie
148,12,dopiero
158,11,haha
161,11,dobry
164,11,adnie
167,10,wczoraj
168,10,wcze
176,10,kupi
180,10,czekamy
183,9,ycie
186,9,smacznego
187,9,razem
188,9,prostu
189,9,pewno
190,9,najpierw
196,8,weso
197,8,weekend
198,8,tato
199,8,szybciej
202,8,prze
203,8,prawda
204,8,pami
205,8,oneczka
207,8,naprawd
208,8,napisa
212,8,jaka
214,8,dziemy
215,8,dziekuje
216,8,drodze
217,8,domu
218,8,denver
220,8,chodzi
221,8,chcia
222,8,cena
226,7,sumie
232,7,rodzice
234,7,rano
235,7,polska
237,7,piwo
238,7,okej
240,7,natek
241,7,musze
242,7,marysi
243,7,mamy
244,7,macie
246,7,jecha
248,7,gada
249,7,fajny
250,7,fajna
251,7,facebook
252,7,drugie
254,7,czwartek
256,7,chce
259,7,brzmi
261,6,zadzwonie
262,6,winyle
263,6,wifi
264,6,wieczorem
265,6,widok
266,6,wiata
268,6,tyle
270,6,termin
271,6,powiedzia
272,6,pomys
273,6,piwko
274,6,pisze
275,6,pierwszy
278,6,ojciec
280,6,najlepiej
281,6,musisz
283,6,mega
284,6,maja
285,6,lubi
287,6,lata
288,6,kogo
289,6,kocham
290,6,kiem
292,6,jakies
294,6,drog
295,6,dieta
296,6,czym
297,6,czas
300,6,bilety
301,6,bierz
303,6,aaaa
304,5,zobaczymy
305,5,znale
306,5,znalaz
307,5,zetka
308,5,zasadzie
310,5,zamiast
311,5,zadzwo
312,5,zacz
313,5,zabra
314,5,wype
315,5,wyjazd
316,5,wycieczk
320,5,widzimy
321,5,wawa
322,5,warto
323,5,warszawo
324,5,wakacje
326,5,tydzie
327,5,terminy
328,5,szcz
329,5,swoj
330,5,sprawdzi
332,5,spotkanie
333,5,spadochronem
335,5,sobot
336,5,sfnsn
337,5,rzeczy
338,5,rodku
339,5,prac
341,5,powiedzieli
342,5,powa
343,5,posz
344,5,pomy
345,5,polsce
346,5,podoba
347,5,pisz
352,5,odzi
353,5,obiad
354,5,nowy
355,5,normalnie
359,5,niesamowite
360,5,niejsze
362,5,nied
363,5,niadanie
364,5,nazywa
365,5,najwa
366,5,najlepsze
367,5,myszko
368,5,motur
371,5,miesi
372,5,miejsce
373,5,mary
374,5,ludzi
375,5,lublina
376,5,lotnisko
378,5,list
379,5,lipca
381,5,kosztuje
385,5,idziemy
387,5,hyhy
388,5,hahaha
390,5,godziny
391,5,ecie
392,5,dziecie
395,5,czekam
396,5,ciesz
397,5,chwil
400,5,basen
401,5,adne
403,4,zrobimy
404,4,zostawi
405,4,zosta
406,4,zmieni
407,4,zlecon
409,4,ziemi
410,4,zale
412,4,wyglada
413,4,wydaje
416,4,witaj
417,4,wiesz
419,4,warszawy
420,4,walcz
421,4,uczelnie
422,4,trzyma
425,4,szuka
426,4,szkoda
428,4,skie
429,4,skaka
430,4,siebie
431,4,sernik
432,4,samolotu
433,4,samo
434,4,ruda
435,4,rodzina
436,4,revolut
437,4,restauracji
438,4,razy
439,4,razu
441,4,przecie
442,4,pracuje
443,4,praca
444,4,posts
445,4,pogoda
446,4,podr
448,4,pierwszej
449,4,pier
450,4,paszport
452,4,pada
455,4,oferta
456,4,odloty
459,4,nowa
460,4,nooo
461,4,nocy
463,4,nica
466,4,nauki
467,4,nauka
468,4,natalka
469,4,nast
471,4,nale
472,4,musimy
473,4,motocrossie
474,4,mniej
475,4,mistrzostwo
476,4,miasto
477,4,marzenia
478,4,mama
479,4,loty
480,4,liczny
481,4,lewa
482,4,lecimy
483,4,lato
486,4,krakowa
487,4,koniecznie
488,4,kolejna
490,4,jedzenie
493,4,jakiego
495,4,hahah
496,4,gotowa
497,4,gicio
499,4,fajne
501,4,ekstra
502,4,ehhh
503,4,egzamin
504,4,egen
505,4,dzisz
506,4,drugiej
507,4,dosta
508,4,domku
510,4,dnia
511,4,deczka
512,4,dawaj
515,4,czasu
516,4,chwile
517,4,chcesz
519,4,buje
520,4,brat
521,4,bowa
524,4,baga
526,4,auta
528,4,ameryka
529,4,akurat
532,3,zgadzam
533,3,zewn
534,3,zetke
535,3,zastanwiam
536,3,zapytam
537,3,zapomnij
538,3,zapomnia
539,3,zami
540,3,zadzwoni
541,3,zabawa
543,3,yciu
544,3,wysz
545,3,wysoko
549,3,wsiadam
550,3,wracam
551,3,wolno
552,3,woda
